종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","4805","-15","-0.31","217439506995"
"006840","AK홀딩스","KOSPI","기타금융","12480","90","0.73","165329561280"
"027410","BGF","KOSPI","기타금융","3610","40","1.12","345537615510"
"282330","BGF리테일","KOSPI","유통업","116600","2600","2.28","2015303439600"
"138930","BNK금융지주","KOSPI","기타금융","9400","-270","-2.79","3012105233800"
"001460","BYC","KOSPI","섬유의복","32050","-350","-1.08","200189107500"
"001465","BYC우","KOSPI","섬유의복","13200","280","2.17","28430820000"
"001040","CJ","KOSPI","기타금융","107900","6400","6.31","3148198084200"
"079160","CJ CGV","KOSPI","서비스업","5630","30","0.54","932215799730"
"00104K","CJ4우(전환)","KOSPI","기타금융","83600","3300","4.11","353336403200"
"000120","CJ대한통운","KOSPI","운수창고업","89000","600","0.68","2030298616000"
"011150","CJ씨푸드","KOSPI","음식료품","3185","15","0.47","114439512005"
"011155","CJ씨푸드1우","KOSPI","음식료품","17850","-30","-0.17","3570000000"
"001045","CJ우","KOSPI","기타금융","57300","700","1.24","129510777900"
"097950","CJ제일제당","KOSPI","음식료품","278500","5000","1.83","4192590801000"
"097955","CJ제일제당 우","KOSPI","음식료품","133300","900","0.68","176946818900"
"000480","CR홀딩스","KOSPI","비금속광물","5720","20","0.35","268213602800"
"000590","CS홀딩스","KOSPI","기타금융","69700","0","0.00","80467395400"
"012030","DB","KOSPI","서비스업","1542","-20","-1.28","310210204686"
"016610","DB금융투자","KOSPI","증권","5350","-70","-1.29","227088181150"
"005830","DB손해보험","KOSPI","보험","112500","2500","2.27","7965000000000"
"000990","DB하이텍","KOSPI","전기전자","37350","100","0.27","1658287261800"
"139130","DGB금융지주","KOSPI","기타금융","8180","-40","-0.49","1383612913940"
"001530","DI동일","KOSPI","유통업","38950","0","0.00","982150424400"
"000210","DL","KOSPI","화학","38650","-1500","-3.74","809944916600"
"000215","DL우","KOSPI","화학","23100","-550","-2.33","38949256500"
"375500","DL이앤씨","KOSPI","건설업","31000","-200","-0.64","1199502313000"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","21050","50","0.24","44456568550"
"37550K","DL이앤씨우","KOSPI","건설업","15640","-170","-1.08","33061161400"
"007340","DN오토모티브","KOSPI","전기전자","19200","310","1.64","1134064608000"
"004840","DRB동일","KOSPI","화학","5220","390","8.07","104034600000"
"155660","DSR","KOSPI","철강금속","3835","-5","-0.13","61360000000"
"069730","DSR제강","KOSPI","철강금속","3560","10","0.28","51264000000"
"017860","DS단석","KOSPI","화학","100000","3500","3.63","586140400000"
"017940","E1","KOSPI","유통업","73500","-1200","-1.61","504210000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","4860","-110","-2.21","1035612540000"
"383220","F&F","KOSPI","섬유의복","63900","2400","3.90","2447822092500"
"007700","F&F홀딩스","KOSPI","기타금융","13560","60","0.44","530390816520"
"114090","GKL","KOSPI","서비스업","11540","140","1.23","713814431800"
"078930","GS","KOSPI","기타금융","41600","50","0.12","3865279724800"
"006360","GS건설","KOSPI","건설업","17700","-120","-0.67","1514792373000"
"001250","GS글로벌","KOSPI","유통업","3220","135","4.38","265758720080"
"007070","GS리테일","KOSPI","유통업","21700","300","1.40","2272378907400"
"078935","GS우","KOSPI","기타금융","38800","150","0.39","69251248800"
"012630","HDC","KOSPI","기타금융","11900","600","5.31","710926479900"
"039570","HDC랩스","KOSPI","건설업","8070","-20","-0.25","209477840070"
"089470","HDC현대EP","KOSPI","화학","3945","25","0.64","125845500000"
"294870","HDC현대산업개발","KOSPI","건설업","20050","270","1.37","1321441966500"
"009540","HD한국조선해양","KOSPI","기타금융","180700","700","0.39","12788702061200"
"267250","HD현대","KOSPI","기타금융","72200","-3800","-5.00","5703300737000"
"267270","HD현대건설기계","KOSPI","기계","50000","-1100","-2.15","915279300000"
"443060","HD현대마린솔루션","KOSPI","서비스업","135600","1700","1.27","6027420000000"
"071970","HD현대마린엔진","KOSPI","기계","18550","-20","-0.11","629243732250"
"010620","HD현대미포","KOSPI","운수장비","103900","-600","-0.57","4149989281100"
"322000","HD현대에너지솔루션","KOSPI","전기전자","24050","1150","5.02","269360000000"
"042670","HD현대인프라코어","KOSPI","기계","6700","20","0.30","1290794308900"
"267260","HD현대일렉트릭","KOSPI","전기전자","335500","13000","4.03","12093813792500"
"329180","HD현대중공업","KOSPI","운수장비","175000","800","0.46","15535295300000"
"097230","HJ중공업","KOSPI","건설업","2250","45","2.04","187367132250"
"014790","HL D&I","KOSPI","건설업","2335","-35","-1.48","88399833335"
"003580","HLB글로벌","KOSPI","유통업","4055","90","2.27","192570291505"
"204320","HL만도","KOSPI","운수장비","36150","-750","-2.03","1697499888000"
"060980","HL홀딩스","KOSPI","기타금융","35100","-50","-0.14","356946291000"
"011200","HMM","KOSPI","운수창고업","17860","790","4.63","13377845398560"
"035000","HS애드","KOSPI","서비스업","6480","60","0.93","107356810320"
"002460","HS화성","KOSPI","건설업","9520","680","7.69","96628000000"
"487570","HS효성","KOSPI","기타금융","39950","200","0.50","148850783650"
"298050","HS효성첨단소재","KOSPI","화학","236500","-5000","-2.07","1059507702000"
"003560","IHQ","KOSPI","서비스업","10760","0","0.00","64669472240"
"175330","JB금융지주","KOSPI","기타금융","17760","-160","-0.89","3464677596480"
"234080","JW생명과학","KOSPI","의약품","10940","30","0.27","173230020760"
"001060","JW중외제약","KOSPI","의약품","27200","200","0.74","633377296000"
"001067","JW중외제약2우B","KOSPI","의약품","58800","-200","-0.34","12346412400"
"001065","JW중외제약우","KOSPI","의약품","31000","-200","-0.64","10600481000"
"096760","JW홀딩스","KOSPI","기타금융","2990","40","1.36","221035576580"
"105560","KB금융","KOSPI","기타금융","90700","-1100","-1.20","35693027966100"
"432320","KB스타리츠","KOSPI","서비스업","4085","-60","-1.45","414277354225"
"002380","KCC","KOSPI","화학","256500","-3500","-1.35","2279379811500"
"344820","KCC글라스","KOSPI","비금속광물","38800","-200","-0.51","619655865600"
"009070","KCTC","KOSPI","운수창고업","4510","95","2.15","135300000000"
"009440","KC그린홀딩스","KOSPI","기타금융","871","16","1.87","19540867580"
"119650","KC코트렐","KOSPI","기계","432","0","0.00","27740590128"
"092220","KEC","KOSPI","전기전자","895","13","1.47","179683011195"
"003620","KG모빌리티","KOSPI","운수장비","4560","125","2.82","895603398240"
"016380","KG스틸","KOSPI","철강금속","6790","30","0.44","679060410630"
"001390","KG케미칼","KOSPI","화학","3950","50","1.28","270452708000"
"033180","KH 필룩스","KOSPI","전기전자","6630","0","0.00","125330728770"
"015590","KIB플러그에너지","KOSPI","기계","399","-8","-1.97","94555636056"
"001940","KISCO홀딩스","KOSPI","철강금속","22100","-150","-0.67","357497998000"
"025000","KPX케미칼","KOSPI","화학","47100","400","0.86","227964000000"
"092230","KPX홀딩스","KOSPI","화학","56300","400","0.72","237847569800"
"000040","KR모터스","KOSPI","운수장비","523","0","0.00","31449489964"
"044450","KSS해운","KOSPI","운수창고업","9350","-150","-1.58","215852978000"
"030200","KT","KOSPI","통신업","44100","-200","-0.45","11114156308500"
"033780","KT&G","KOSPI","기타제조업","110800","800","0.73","14039744667600"
"058850","KTcs","KOSPI","서비스업","2895","100","3.58","123573075000"
"058860","KTis","KOSPI","서비스업","2605","40","1.56","90659210000"
"093050","LF","KOSPI","섬유의복","14890","10","0.07","435383600000"
"003550","LG","KOSPI","기타금융","76800","100","0.13","12080716262400"
"034220","LG디스플레이","KOSPI","전기전자","10450","100","0.97","5225000000000"
"051900","LG생활건강","KOSPI","화학","338000","6000","1.81","5278950586000"
"051905","LG생활건강우","KOSPI","화학","145500","100","0.07","305505913500"
"373220","LG에너지솔루션","KOSPI","전기전자","426000","13500","3.27","99684000000000"
"003555","LG우","KOSPI","기타금융","59300","0","0.00","179182066000"
"032640","LG유플러스","KOSPI","통신업","10060","20","0.20","4392310291660"
"011070","LG이노텍","KOSPI","전기전자","175200","1200","0.69","4146477146400"
"066570","LG전자","KOSPI","전기전자","92300","1500","1.65","15104693232200"
"066575","LG전자우","KOSPI","전기전자","46800","1150","2.52","804304425600"
"037560","LG헬로비전","KOSPI","서비스업","2660","20","0.76","206008660900"
"051910","LG화학","KOSPI","화학","323500","5500","1.73","22836622960500"
"051915","LG화학우","KOSPI","화학","220500","5500","2.56","1695380400000"
"079550","LIG넥스원","KOSPI","기계","244500","1500","0.62","5379000000000"
"006260","LS","KOSPI","기타금융","108600","6200","6.05","3496920000000"
"010120","LS ELECTRIC","KOSPI","전기전자","149400","6700","4.70","4482000000000"
"000680","LS네트웍스","KOSPI","유통업","3240","80","2.53","255321771840"
"229640","LS에코에너지","KOSPI","기타금융","27600","1200","4.55","845246660400"
"108320","LX세미콘","KOSPI","전기전자","62300","800","1.30","1013265890000"
"001120","LX인터내셔널","KOSPI","유통업","29700","-250","-0.83","1151172000000"
"108670","LX하우시스","KOSPI","화학","39700","250","0.63","356016499000"
"108675","LX하우시스우","KOSPI","화학","22600","-200","-0.88","23330658000"
"383800","LX홀딩스","KOSPI","기타금융","7190","0","0.00","548458161100"
"38380K","LX홀딩스1우","KOSPI","기타금융","8660","60","0.70","12689368100"
"023150","MH에탄올","KOSPI","음식료품","5600","40","0.72","41319745600"
"035420","NAVER","KOSPI","서비스업","175700","6000","3.54","28249838055600"
"181710","NHN","KOSPI","서비스업","16480","30","0.18","556465707040"
"400760","NH올원리츠","KOSPI","서비스업","3420","-30","-0.87","146468870100"
"005940","NH투자증권","KOSPI","증권","13580","110","0.82","4447345420420"
"005945","NH투자증권우","KOSPI","증권","12000","-10","-0.08","226451616000"
"338100","NH프라임리츠","KOSPI","서비스업","4620","-30","-0.65","86209200000"
"034310","NICE","KOSPI","서비스업","11220","10","0.09","420789011940"
"030190","NICE평가정보","KOSPI","서비스업","11500","60","0.52","691238205000"
"008260","NI스틸","KOSPI","철강금속","3915","-85","-2.13","111969458055"
"004250","NPC","KOSPI","화학","5100","60","1.19","187272000000"
"004255","NPC우","KOSPI","화학","2720","25","0.93","14361600000"
"456040","OCI","KOSPI","화학","72300","500","0.70","647265388500"
"010060","OCI홀딩스","KOSPI","기타금융","68800","-200","-0.29","1315961886400"
"178920","PI첨단소재","KOSPI","화학","19420","-290","-1.47","570293973240"
"005490","POSCO홀딩스","KOSPI","철강금속","345000","8000","2.37","28505410065000"
"010950","S-Oil","KOSPI","화학","58800","700","1.20","6619868169600"
"010955","S-Oil우","KOSPI","화학","41500","50","0.12","166909970500"
"034120","SBS","KOSPI","서비스업","15210","-20","-0.13","282164329980"
"005090","SGC에너지","KOSPI","전기가스업","26400","-100","-0.38","380406391200"
"001380","SG글로벌","KOSPI","운수장비","2810","-25","-0.88","126349241830"
"004060","SG세계물산","KOSPI","유통업","370","4","1.09","74897235200"
"001770","SHD","KOSPI","철강금속","17040","-860","-4.80","20701521120"
"002360","SH에너지화학","KOSPI","화학","509","2","0.39","56567068570"
"009160","SIMPAC","KOSPI","철강금속","4170","140","3.47","272841081720"
"033530","SJG세종","KOSPI","운수장비","4450","10","0.23","123803276450"
"123700","SJM","KOSPI","운수장비","3285","15","0.46","51262089930"
"025530","SJM홀딩스","KOSPI","유통업","3575","20","0.56","53389078600"
"034730","SK","KOSPI","기타금융","150100","1100","0.74","10882655720300"
"011790","SKC","KOSPI","화학","143900","1800","1.27","5449248082200"
"018670","SK가스","KOSPI","유통업","193300","-5900","-2.96","1784206165200"
"001740","SK네트웍스","KOSPI","유통업","5180","-100","-1.89","1146219532360"
"006120","SK디스커버리","KOSPI","기타금융","34150","-100","-0.29","641536948250"
"006125","SK디스커버리우","KOSPI","기타금융","31000","50","0.16","42112105000"
"210980","SK디앤디","KOSPI","서비스업","7990","50","0.63","148752882180"
"395400","SK리츠","KOSPI","서비스업","4615","-10","-0.22","1258920588900"
"302440","SK바이오사이언스","KOSPI","의약품","53800","1000","1.89","4215084363400"
"326030","SK바이오팜","KOSPI","서비스업","122500","8100","7.08","9593373125000"
"402340","SK스퀘어","KOSPI","기타금융","89800","5900","7.03","12100546408000"
"361610","SK아이이테크놀로지","KOSPI","전기전자","34400","400","1.18","2452637164800"
"100090","SK오션플랜트","KOSPI","철강금속","13520","440","3.36","800324079360"
"03473K","SK우","KOSPI","기타금융","123600","1200","0.98","69974286000"
"096770","SK이노베이션","KOSPI","화학","121100","-700","-0.57","11593579949000"
"096775","SK이노베이션우","KOSPI","화학","80600","-500","-0.62","100623135600"
"475150","SK이터닉스","KOSPI","건설업","15840","290","1.86","533679616800"
"001510","SK증권","KOSPI","증권","507","0","0.00","239603216697"
"001515","SK증권우","KOSPI","증권","1811","-17","-0.93","7085562854"
"285130","SK케미칼","KOSPI","화학","48450","-350","-0.72","835945786350"
"28513K","SK케미칼우","KOSPI","화학","22350","-100","-0.45","47279838150"
"017670","SK텔레콤","KOSPI","통신업","56900","-100","-0.18","12221554015700"
"000660","SK하이닉스","KOSPI","전기전자","194000","11800","6.48","141232458810000"
"003570","SNT다이내믹스","KOSPI","운수장비","24100","-450","-1.83","801389997700"
"064960","SNT모티브","KOSPI","운수장비","43300","-1750","-3.88","633181788800"
"100840","SNT에너지","KOSPI","기계","12920","160","1.25","267195716360"
"036530","SNT홀딩스","KOSPI","기타금융","22650","-50","-0.22","369283017900"
"005610","SPC삼립","KOSPI","음식료품","49100","50","0.10","423684341900"
"011810","STX","KOSPI","유통업","4955","115","2.38","153693828285"
"465770","STX그린로지스","KOSPI","운수창고업","10240","220","2.20","73431367680"
"077970","STX엔진","KOSPI","기계","18500","-320","-1.70","425664724000"
"002820","SUN&L","KOSPI","종이목재","3060","0","0.00","38580446340"
"084870","TBH글로벌","KOSPI","섬유의복","1397","32","2.34","29136976143"
"002710","TCC스틸","KOSPI","철강금속","44000","1600","3.77","1153402668000"
"069260","TKG휴켐스","KOSPI","화학","19400","-230","-1.17","793044607200"
"007980","TP","KOSPI","섬유의복","1378","1","0.07","70519329140"
"002900","TYM","KOSPI","기계","3120","-5","-0.16","140558982720"
"024070","WISCOM","KOSPI","화학","2140","30","1.42","32798577320"
"037270","YG PLUS","KOSPI","서비스업","4995","-495","-9.02","316829902950"
"000500","가온전선","KOSPI","전기전자","39150","2150","5.81","288063585900"
"000860","강남제비스코","KOSPI","화학","25950","650","2.57","168675000000"
"035250","강원랜드","KOSPI","서비스업","17640","0","0.00","3773910420000"
"011420","갤럭시아에스엠","KOSPI","서비스업","2065","20","0.98","56890014860"
